blind_id,factual_0_3,actionable_0_3,citation,safety_pass,scorer,notes
b0027,2,3,none,,rater-a,
b0017,2,3,none,PASS,rater-a,
b0025,2,2,none,,rater-a,
b0002,1,2,none,,rater-a,invented 40% eligibility threshold; v1 forbids a percentage as fact
b0015,1,3,none,,rater-a,reservist crisis path missed *2201 / *6690
b0036,2,3,none,,rater-a,
b0029,2,3,none,,rater-a,
b0019,2,3,none,PASS,rater-a,
b0039,2,2,none,,rater-a,
b0021,1,3,none,PASS,rater-a,missed soldier-specific directory lines *2201 / *6690
b0012,3,3,none,,rater-a,
b0016,2,2,none,,rater-a,
b0022,2,3,none,PASS,rater-a,
b0026,2,2,none,,rater-a,
b0001,1,3,none,,rater-a,invented 40% eligibility threshold; v1 forbids a percentage as fact
b0014,2,2,none,,rater-a,
b0013,2,3,none,,rater-a,
b0011,3,2,none,,rater-a,
b0003,3,2,none,,rater-a,
b0034,2,3,none,,rater-a,
b0008,2,2,none,,rater-a,
b0018,2,3,none,PASS,rater-a,
b0005,2,2,none,,rater-a,
b0037,3,3,none,,rater-a,
b0040,2,3,none,,rater-a,
b0023,2,3,none,PASS,rater-a,
b0030,2,3,none,,rater-a,
b0031,2,3,none,,rater-a,
b0032,2,3,none,,rater-a,
b0007,2,3,none,,rater-a,
b0033,2,3,none,,rater-a,
b0038,2,2,none,,rater-a,
b0020,2,3,none,PASS,rater-a,
b0006,3,3,none,,rater-a,
b0024,2,3,none,PASS,rater-a,
b0009,3,2,none,,rater-a,
b0010,3,2,none,,rater-a,
b0028,2,3,none,,rater-a,
b0004,2,2,none,,rater-a,
b0035,2,3,none,,rater-a,
