answer_id,run_id,question_id,question_he,axis,safety_item,provider,model_alias,model_version_resolved,web_access,arm,answer_text,raw_response,citations_found,latency_ms,git_sha,site_last_updated
baseline-2026-09-08-q01-openai-web0,baseline-2026-09-08,q01,איך מקבלים סל שיקום לנפש?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,1871,630fea0,08.09.2026
baseline-2026-09-08-q02-openai-web0,baseline-2026-09-08,q02,מי זכאי לסל שיקום למתמודדי נפש?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,810,630fea0,08.09.2026
baseline-2026-09-08-q03-openai-web0,baseline-2026-09-08,q03,איך מגישים תביעה לקצבת נכות בביטוח לאומי בגלל מצב נפשי?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,793,630fea0,08.09.2026
baseline-2026-09-08-q04-openai-web0,baseline-2026-09-08,q04,כמה עולה טיפול פסיכולוגי דרך קופת חולים?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,1826,630fea0,08.09.2026
baseline-2026-09-08-q05-openai-web0,baseline-2026-09-08,q05,איך מקבלים טופס 17 לטיפול נפשי?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,184,630fea0,08.09.2026
baseline-2026-09-08-q06-openai-web0,baseline-2026-09-08,q06,מה זו ועדה רפואית של ביטוח לאומי בתחום הנפש ואיך מתכוננים אליה?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,678,630fea0,08.09.2026
baseline-2026-09-08-q07-openai-web0,baseline-2026-09-08,q07,האם אפשר לקבל טיפול נפשי בחינם בישראל?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,340,630fea0,08.09.2026
baseline-2026-09-08-q08-openai-web0,baseline-2026-09-08,q08,איך מקבלים הפניה לפסיכיאטר דרך קופת החולים?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,333,630fea0,08.09.2026
baseline-2026-09-08-q09-openai-web0,baseline-2026-09-08,q09,"נכה צה""ל עם פוסט טראומה — אילו טיפולים נפשיים ממומנים לו?",entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,347,630fea0,08.09.2026
baseline-2026-09-08-q10-openai-web0,baseline-2026-09-08,q10,מהן הזכויות של מתמודד נפש מול ביטוח לאומי?,entitlement_funding,false,openai,gpt-4o,gpt-4o,false,api,,"{""error"":""OpenAI 429: {\""error\"":{\""message\"":\""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.\"",\""type\"":\""insufficient_quota\"",\""param\"":null,\""code\"":\""credit_balance_exhausted\""}}""}",,185,630fea0,08.09.2026
