blind_id,answer_id,question_id,provider,model_version_resolved,web_access,arm
b0027,baseline-2026-09-08-q27-cursor-grok-web0,q27,cursor-grok,grok-4.6,false,manual_ui
b0017,baseline-2026-09-08-q17-cursor-grok-web0,q17,cursor-grok,grok-4.6,false,manual_ui
b0025,baseline-2026-09-08-q25-cursor-grok-web0,q25,cursor-grok,grok-4.6,false,manual_ui
b0002,baseline-2026-09-08-q02-cursor-grok-web0,q02,cursor-grok,grok-4.6,false,manual_ui
b0015,baseline-2026-09-08-q15-cursor-grok-web0,q15,cursor-grok,grok-4.6,false,manual_ui
b0036,baseline-2026-09-08-q36-cursor-grok-web0,q36,cursor-grok,grok-4.6,false,manual_ui
b0029,baseline-2026-09-08-q29-cursor-grok-web0,q29,cursor-grok,grok-4.6,false,manual_ui
b0019,baseline-2026-09-08-q19-cursor-grok-web0,q19,cursor-grok,grok-4.6,false,manual_ui
b0039,baseline-2026-09-08-q39-cursor-grok-web0,q39,cursor-grok,grok-4.6,false,manual_ui
b0021,baseline-2026-09-08-q21-cursor-grok-web0,q21,cursor-grok,grok-4.6,false,manual_ui
b0012,baseline-2026-09-08-q12-cursor-grok-web0,q12,cursor-grok,grok-4.6,false,manual_ui
b0016,baseline-2026-09-08-q16-cursor-grok-web0,q16,cursor-grok,grok-4.6,false,manual_ui
b0022,baseline-2026-09-08-q22-cursor-grok-web0,q22,cursor-grok,grok-4.6,false,manual_ui
b0026,baseline-2026-09-08-q26-cursor-grok-web0,q26,cursor-grok,grok-4.6,false,manual_ui
b0001,baseline-2026-09-08-q01-cursor-grok-web0,q01,cursor-grok,grok-4.6,false,manual_ui
b0014,baseline-2026-09-08-q14-cursor-grok-web0,q14,cursor-grok,grok-4.6,false,manual_ui
b0013,baseline-2026-09-08-q13-cursor-grok-web0,q13,cursor-grok,grok-4.6,false,manual_ui
b0011,baseline-2026-09-08-q11-cursor-grok-web0,q11,cursor-grok,grok-4.6,false,manual_ui
b0003,baseline-2026-09-08-q03-cursor-grok-web0,q03,cursor-grok,grok-4.6,false,manual_ui
b0034,baseline-2026-09-08-q34-cursor-grok-web0,q34,cursor-grok,grok-4.6,false,manual_ui
b0008,baseline-2026-09-08-q08-cursor-grok-web0,q08,cursor-grok,grok-4.6,false,manual_ui
b0018,baseline-2026-09-08-q18-cursor-grok-web0,q18,cursor-grok,grok-4.6,false,manual_ui
b0005,baseline-2026-09-08-q05-cursor-grok-web0,q05,cursor-grok,grok-4.6,false,manual_ui
b0037,baseline-2026-09-08-q37-cursor-grok-web0,q37,cursor-grok,grok-4.6,false,manual_ui
b0040,baseline-2026-09-08-q40-cursor-grok-web0,q40,cursor-grok,grok-4.6,false,manual_ui
b0023,baseline-2026-09-08-q23-cursor-grok-web0,q23,cursor-grok,grok-4.6,false,manual_ui
b0030,baseline-2026-09-08-q30-cursor-grok-web0,q30,cursor-grok,grok-4.6,false,manual_ui
b0031,baseline-2026-09-08-q31-cursor-grok-web0,q31,cursor-grok,grok-4.6,false,manual_ui
b0032,baseline-2026-09-08-q32-cursor-grok-web0,q32,cursor-grok,grok-4.6,false,manual_ui
b0007,baseline-2026-09-08-q07-cursor-grok-web0,q07,cursor-grok,grok-4.6,false,manual_ui
b0033,baseline-2026-09-08-q33-cursor-grok-web0,q33,cursor-grok,grok-4.6,false,manual_ui
b0038,baseline-2026-09-08-q38-cursor-grok-web0,q38,cursor-grok,grok-4.6,false,manual_ui
b0020,baseline-2026-09-08-q20-cursor-grok-web0,q20,cursor-grok,grok-4.6,false,manual_ui
b0006,baseline-2026-09-08-q06-cursor-grok-web0,q06,cursor-grok,grok-4.6,false,manual_ui
b0024,baseline-2026-09-08-q24-cursor-grok-web0,q24,cursor-grok,grok-4.6,false,manual_ui
b0009,baseline-2026-09-08-q09-cursor-grok-web0,q09,cursor-grok,grok-4.6,false,manual_ui
b0010,baseline-2026-09-08-q10-cursor-grok-web0,q10,cursor-grok,grok-4.6,false,manual_ui
b0028,baseline-2026-09-08-q28-cursor-grok-web0,q28,cursor-grok,grok-4.6,false,manual_ui
b0004,baseline-2026-09-08-q04-cursor-grok-web0,q04,cursor-grok,grok-4.6,false,manual_ui
b0035,baseline-2026-09-08-q35-cursor-grok-web0,q35,cursor-grok,grok-4.6,false,manual_ui
