answer_id,run_id,question_id,question_he,axis,safety_item,provider,model_alias,model_version_resolved,web_access,arm,answer_text,raw_response,citations_found,latency_ms,git_sha,site_last_updated
baseline-2026-09-08-q01-cursor-grok-web0,baseline-2026-09-08,q01,איך מקבלים סל שיקום לנפש?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"סל שיקום לנפש ניתן דרך משרד הבריאות למי שמוכר כמתמודד נפש וזקוק לשיקום בקהילה. בדרך כלל נדרשת נכות נפשית מוכרת בביטוח לאומי, לרוב בשיעור 40 אחוז ומעלה, ואז בונים תוכנית שיקום אישית עם עובדת סוציאלית. השירותים יכולים לכלול דיור, תעסוקה, חברה, לימודים ותיאום טיפול. זה אינו ייעוץ רפואי. הצעד הבא: פנו לעובדת סוציאלית במרפאה לבריאות הנפש או בקופת החולים ובקשו הפנייה לרכז השיקום המחוזי.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q02-cursor-grok-web0,baseline-2026-09-08,q02,מי זכאי לסל שיקום למתמודדי נפש?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"זכאים בדרך כלל מי שמתמודדים עם מחלה נפשית ויש להם נכות רפואית מוכרת בביטוח לאומי בתחום הנפש, לרוב 40 אחוז ומעלה, ויש להם צורך בשיקום. הזכאות נקבעת לפי מסמכים רפואיים, תפקוד ביום־יום ותוכנית שיקום. גם מי שעדיין בתהליך תביעה יכול לקבל הכוונה במרפאה. זה אינו ייעוץ רפואי. הצעד הבא: בדקו בביטוח לאומי את אחוזי הנכות הנפשית, ואז פנו לעוס במרפאה לבריאות הנפש או לרכז שיקום מחוזי.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q03-cursor-grok-web0,baseline-2026-09-08,q03,איך מגישים תביעה לקצבת נכות בביטוח לאומי בגלל מצב נפשי?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"תביעה לקצבת נכות כללית בגלל מצב נפשי מוגשת לביטוח לאומי, עם מסמכים מפסיכיאטר מטפל, סיכומי אשפוז אם יש, ורשימת תרופות. אחרי ההגשה מזמנים לוועדה רפואית שקובעת אחוזי נכות ופגיעה בכושר העבודה. אפשר לקבל עזרה במילוי הטפסים מעובדת סוציאלית או מיד מכוונת. זה אינו ייעוץ רפואי. הצעד הבא: היכנסו לאתר ביטוח לאומי או לסניף, הגישו תביעה לנכות כללית, ושמרו העתקים של כל המסמכים הרפואיים.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q04-cursor-grok-web0,baseline-2026-09-08,q04,כמה עולה טיפול פסיכולוגי דרך קופת חולים?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"טיפול פסיכולוגי דרך קופת חולים הוא בדרך כלל מסובסד ולא במחיר פרטי מלא, אבל המחיר המדויק משתנה בין הקופות, סוג המטפל ובין מרפאה ציבורית להסדר. במרפאות בריאות הנפש של הקופה או של משרד הבריאות התשלום הוא לרוב השתתפות עצמית נמוכה יחסית. חלק מהשירותים דורשים הפנייה או אישור. זה אינו ייעוץ רפואי. הצעד הבא: התקשרו למוקד בריאות הנפש של הקופה שלכם ושאלו מה המסלול ומה ההשתתפות העצמית באזורכם.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q05-cursor-grok-web0,baseline-2026-09-08,q05,איך מקבלים טופס 17 לטיפול נפשי?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"טופס 17 הוא התחייבות של קופת החולים לשלם לספק שירות, כולל טיפול נפשי במקום שאינו תמיד בתוך הקופה. לרוב מתחילים ברופא משפחה או בפסיכיאטר, מקבלים הפנייה, ומגישים בקשה לאישור בקופה. בחלק מהקופות יש מרפאות פנימיות שבהן אפשר להתחיל בלי טופס 17. זה אינו ייעוץ רפואי. הצעד הבא: קבעו תור לרופא המשפחה או למוקד בריאות הנפש של הקופה ובקשו הפנייה והתחייבות לטיפול.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q06-cursor-grok-web0,baseline-2026-09-08,q06,מה זו ועדה רפואית של ביטוח לאומי בתחום הנפש ואיך מתכוננים אליה?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"ועדה רפואית בביטוח לאומי בתחום הנפש היא פגישה עם רופאים שבודקים מסמכים ושואלים על התסמינים, הטיפול והתפקוד ביום־יום, כדי לקבוע אחוזי נכות. כדאי להביא סיכומים פסיכיאטריים עדכניים, אשפוזים, רשימת תרופות ותיאור כתוב של הקשיים בעבודה ובבית. מותר לבוא עם מלווה, ואפשר לערער על ההחלטה בתוך המועד שצוין במכתב. זה אינו ייעוץ רפואי. הצעד הבא: אספו תיק רפואי מסודר ופנו לעוס או ליד מכוונת כדי להתכונן לוועדה.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q07-cursor-grok-web0,baseline-2026-09-08,q07,האם אפשר לקבל טיפול נפשי בחינם בישראל?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"יש מסלולים בחינם או כמעט בחינם, אבל לא כל טיפול נפשי בישראל הוא חינם. ערן 1201 נותן תמיכה רגשית טלפונית מסביב לשעון בלי תשלום. מרפאות ציבוריות וקופות חולים גובות לרוב השתתפות עצמית נמוכה, ויש עמותות שמציעות סיוע מסובסד או חינם לפי קריטריונים. מצב חירום רפואי מטופל במיון. זה אינו ייעוץ רפואי. הצעד הבא: אם זה דחוף התקשרו לערן 1201, ואם צריך טיפול מתמשך פנו לקופה או למרפאה ציבורית לבריאות הנפש.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q08-cursor-grok-web0,baseline-2026-09-08,q08,איך מקבלים הפניה לפסיכיאטר דרך קופת החולים?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"הפניה לפסיכיאטר בקופת חולים מתחילה בדרך כלל ברופא משפחה או בפנייה ישירה למוקד בריאות הנפש של הקופה. בחלק מהקופות אפשר לקבוע תור בלי הפנייה מראש, ובאחרות צריך אישור. אם המצב דחוף, רופא המשפחה או המיון יכולים לזרז הערכה. זה אינו ייעוץ רפואי. הצעד הבא: התקשרו היום למוקד הקופה שלכם, בקשו תור לבריאות הנפש, ותארו בקצרה את הדחיפות.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q09-cursor-grok-web0,baseline-2026-09-08,q09,"נכה צה""ל עם פוסט טראומה — אילו טיפולים נפשיים ממומנים לו?",entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"נכה צהל עם פוסט טראומה מוכרת זכאי בדרך כלל לטיפולים נפשיים דרך אגף השיקום במשרד הביטחון, כולל פסיכותרפיה וטיפול פסיכיאטרי לפי תוכנית השיקום. אפשר גם לקבל טיפול בקופת החולים, ולפעמים יש מסלולים משלימים לפי ההכרה והסעיפים. חשוב שההכרה תכלול את הפגיעה הנפשית. זה אינו ייעוץ רפואי. הצעד הבא: פנו לקצין השיקום או למוקד אגף השיקום ובקשו פירוט של הטיפולים המאושרים בתיק שלכם.",{},,,630fea0,08.09.2026
baseline-2026-09-08-q10-cursor-grok-web0,baseline-2026-09-08,q10,מהן הזכויות של מתמודד נפש מול ביטוח לאומי?,entitlement_funding,false,cursor-grok,grok-4.6,grok-4.6,false,manual_ui,"מול ביטוח לאומי מתמודד נפש עשוי להיות זכאי לנכות כללית, שיקום מקצועי, ולפעמים קצבאות נוספות לפי התפקוד ואחוזי הנכות. הזכויות תלויות בהכרה הרפואית, בהשפעה על כושר העבודה ובמסמכים. אפשר לקבל ליווי במיצוי זכויות מעובדת סוציאלית. זה אינו ייעוץ רפואי. הצעד הבא: בקשו מעוס במרפאה או בקופה לבדוק אילו תביעות רלוונטיות, והגישו אותן באתר או בסניף ביטוח לאומי.",{},,,630fea0,08.09.2026
